Subject,NCM-L(mm^3),NCM-R(mm^3),HP (mm^3),L (mm^3),NCL (mm^3),Cb (mm^3),CM (mm^3),HVC (mm^3),TotalVolume (mm^3),HP,L,NCL,Cb,CM,HVC
BlaGre1349M,0.208257,0.441539125,0.159625475,0,0.027427825,0,0,0,0.836849425,1,0,1,0,0,0
XXXBlu0031M,0.394386175,0.21096835,0,0.01100255,0.113668775,0,0.0041311,0,0.73415695,0,1,1,0,1,0
HpiGre0651M,0.416895475,0.599420975,0,0.00669075,0.86343685,0,0.0672915,0.107402375,2.061137925,0,0,1,0,1,1
GreBla3404M,0.521660275,0.0736378,0.0340117,0,0,0.03578225,0,0,0.665092025,1,0,0,0,0,0
GreBlu5039F,0.319405175,0.0602277,0.39458295,0.0097886,0,0.101596575,0.022477325,0,0.908078325,2,1,0,1,1,0
WhiBlu5805F,0.398385725,0.404802025,0,0.359295825,0.50623445,0,0.133044575,0,1.8017626,0,2,3,0,1,0
RedHpi0710F,0.2288798,0.296219175,0.107732175,0.006334675,0.433091225,0,0.025358925,0.0720721,1.169688075,1,0,2,0,1,1
XXXOra0037F,0.3702651,0.272158625,0.088290275,0,0.14975245,0.058681925,0,0,0.939148375,0,0,2,0,0,0
XXXHpi0038M,0.16111715,0.1399707,0.31044485,0,0,1.038903725,0,0,1.650436425,2,0,0,1,0,0
GraWhi4040F,0.0259285,0.3022771,0,0,0.0571818,0,0,0,0.3853874,0,0,0,0,0,0