Subject,"S1,prelesion,DCvsDC_1v1","S1,prelesion,DCvsDC_4v4","S1,prelesion,DCvsDC_6v6_d1","S1,prelesion,DCvsDC_6v6_d2","S1,prelesion,SovsSo_1v1","S1,prelesion,SovsSo_4v4","S1,prelesion,SovsSo_8v8_d1","S1,prelesion,SovsSo_8v8_d2","S1,postlesion,SovsSo_1v1","S1,postlesion,SovsSo_8v8_d2","S1,postlesion,DCvsDC_1v1","S1,postlesion,DCvsDC_6v6_d2","S2,postlesion,DCvsDC_1v1_S2","S2,postlesion,DCvsDC_4v4_S2","S2,postlesion,DCvsDC_6v6_d1_S2","S2,postlesion,DCvsDC_6v6_d2_S2","S2,postlesion,SovsSo_1v1_S2","S2,postlesion,SovsSo_4v4_S2","S2,postlesion,SovsSo_8v8_d1_S2","S2,postlesion,SovsSo_8v8_d2_S2"
BluYel2571F,"2019-04-22,2019-04-23","2019-04-24,2019-04-24","2019-04-25,2019-04-25","2019-04-26,2019-04-27","2019-04-08,2019-04-15","2019-04-16,2019-04-16","2019-04-17,2019-04-17","2019-04-18,2019-04-19","2019-05-10,2019-05-11","2019-05-11,2019-05-12","2019-05-07,2019-05-07","2019-05-08,2019-05-09","2019-05-20,2019-05-21","2019-05-21,2019-05-22","2019-05-23,2019-05-23","2019-05-24,2019-05-25","2019-05-13,2019-05-13","2019-05-14,2019-05-14","2019-05-15,2019-05-15","2019-05-16,2019-05-17"
GreBlu5039F,"2019-04-14,2019-04-15","2019-04-16,2019-04-16","2019-04-17,2019-04-17","2019-04-18,2019-04-19","2019-04-08,2019-04-23","2019-04-24,2019-04-24","2019-04-25,2019-04-25","2019-04-26,2019-04-27","2019-05-07,2019-05-07","2019-05-08,2019-05-09","2019-05-10,2019-05-10","2019-05-11,2019-05-12","2019-05-13,2019-05-13","2019-05-14,2019-05-14","2019-05-15,2019-05-15","2019-05-16,2019-05-17","2019-05-20,2019-05-21","2019-05-22,2019-05-22","2019-05-23,2019-05-23","2019-05-24,2019-05-25"
GreBla3404M,"2019-04-22,2019-04-23","2019-04-24,2019-04-24","2019-04-25,2019-04-25","2019-04-26,2019-04-27","2019-04-11,2019-04-15","2019-04-16,2019-04-16","2019-04-17,2019-04-17","2019-04-18,2019-04-19","2019-05-10,2019-05-10","2019-05-11,2019-05-12","2019-05-07,2019-05-07","2019-05-08,2019-05-09","2019-05-20,2019-05-21","2019-05-22,2019-05-22","2019-05-23,2019-05-23","2019-05-24,2019-05-25","2019-05-13,2019-05-13","2019-05-14,2019-05-14","2019-05-15,2019-05-15","2019-05-16,2019-05-17"
GraWhi4040F,"2019-06-09,2019-06-09","2019-06-10,2019-06-11","2019-06-12,2019-06-12","2019-06-13,2019-06-17","2019-06-17,2019-06-17","2019-06-18,2019-06-18","2019-06-19,2019-06-19","2019-06-20,2019-06-21","2019-07-01,2019-07-01","2019-07-02,2019-07-04","2019-07-05,2019-07-05","2019-07-06,2019-07-07","2019-07-13,2019-07-13","2019-07-14,2019-07-14","2019-07-15,2019-07-15","2019-07-16,2019-07-17","2019-07-08,2019-07-08","2019-07-09,2019-07-09","2019-07-10,2019-07-10","2019-07-11,2019-07-12"
BlaGre1349M,"2019-06-09,2019-06-09","2019-06-10,2019-06-11","2019-06-12,2019-06-12","2019-06-13,2019-06-17","2019-06-17,2019-06-17","2019-06-18,2019-06-18","2019-06-19,2019-06-19","2019-06-20,2019-06-21","2019-07-01,2019-07-01","2019-07-02,2019-07-03","2019-07-04,2019-07-04","2019-07-05,2019-07-06","2019-07-12,2019-07-12","2019-07-13,2019-07-13","2019-07-14,2019-07-14","2019-07-15,2019-07-16","2019-07-07,2019-07-07","2019-07-08,2019-07-08","2019-07-09,2019-07-09","2019-07-10,2019-07-11"
XXXHpi0038M,"2019-06-17,2019-06-17","2019-06-18,2019-06-18","2019-06-19,2019-06-19","2019-06-20,2019-06-21","2019-06-09,2019-06-09","2019-06-10,2019-06-11","2019-06-12,2019-06-12","2019-06-13,2019-06-14","2019-07-04,2019-07-04","2019-07-05,2019-07-06","2019-07-01,2019-07-01","2019-07-02,2019-07-03","2019-07-07,2019-07-07","2019-07-08,2019-07-08","2019-07-09,2019-07-09","2019-07-10,2019-07-11","2019-07-12,2019-07-12","2019-07-13,2019-07-13","2019-07-14,2019-07-14","2019-07-15,2019-07-16"
XXXOra0037F,"2019-09-01,2019-09-01","2019-09-02,2019-09-02","2019-09-03,2019-09-03","2019-09-04,2019-09-05","2019-08-26,2019-08-27","2019-08-28,2019-08-28","2019-08-29,2019-08-29","2019-08-30,2019-08-31","2019-09-13,2019-09-13","2019-09-14,2019-09-15","2019-09-10,2019-09-10","2019-09-11,2019-09-12","2019-09-23,2019-09-23","2019-09-24,2019-09-24","2019-09-25,2019-09-25","2019-09-26,2019-09-27","2019-09-16,2019-09-16","2019-09-17,2019-09-17","2019-09-18,2019-09-18","2019-09-19,2019-09-20"
YelPur7906M,"2019-09-01,2019-09-01","2019-09-02,2019-09-02","2019-09-03,2019-09-03","2019-09-04,2019-09-05","2019-08-26,2019-08-27","2019-08-28,2019-08-28","2019-08-29,2019-08-29","2019-08-30,2019-08-31","2019-09-13,2019-09-13","2019-09-14,2019-09-15","2019-09-10,2019-09-10","2019-09-11,2019-09-12","2019-09-23,2019-09-23","2019-09-24,2019-09-24","2019-09-25,2019-09-25","2019-09-26,2019-09-27","2019-09-16,2019-09-16","2019-09-17,2019-09-17","2019-09-18,2019-09-18","2019-09-19,2019-09-20"
WhiWhi2526M,"2019-08-26,2019-08-27","2019-08-28,2019-08-28","2019-08-29,2019-08-29","2019-08-30,2019-08-31","2019-09-01,2019-09-01","2019-09-02,2019-09-02","2019-09-03,2019-09-03","2019-09-04,2019-09-05","2019-09-10,2019-09-10","2019-09-11,2019-09-12","2019-09-13,2019-09-13","2019-09-14,2019-09-15","2019-09-16,2019-09-16","2019-09-17,2019-09-17","2019-09-18,2019-09-18","2019-09-19,2019-09-20","2019-09-23,2019-09-23","2019-09-24,2019-09-24","2019-09-25,2019-09-25","2019-09-26,2019-09-27"
XXXBlu0031M,"2021-01-18,2021-01-18","2021-01-19,2021-01-19","2021-01-20,2021-01-20","2021-01-21,2021-01-22",,"2021-01-25,2021-01-25","2021-01-26,2021-01-26","2021-01-27,2021-01-28",,"2021-02-03,2021-02-04","2021-02-05,2021-02-05","2021-02-06,2021-02-07","2021-02-13,2021-02-13","2021-02-14,2021-02-15","2021-02-15,2021-02-15","2021-02-16,2021-02-17","2021-02-08,2021-02-08","2021-02-09,2021-02-09","2021-02-10,2021-02-10","2021-02-11,2021-02-12"
HpiGre0651M,,"2021-01-25,2021-01-25","2021-01-26,2021-01-26","2021-01-27,2021-01-28","2021-01-18,2021-01-18","2021-01-19,2021-01-19","2021-01-20,2021-01-20","2021-01-21,2021-01-22","2021-02-05,2021-02-05","2021-02-06,2021-02-07",,"2021-02-03,2021-02-04","2021-02-08,2021-02-08","2021-02-09,2021-02-09","2021-02-10,2021-02-10","2021-02-11,2021-02-12","2021-02-13,2021-02-13","2021-02-14,2021-02-15","2021-02-15,2021-02-15","2021-02-16,2021-02-17"
RedHpi0710F,"2021-01-18,2021-01-18","2021-01-19,2021-01-19","2021-01-20,2021-01-20","2021-01-21,2021-01-22",,"2021-01-25,2021-01-25","2021-01-26,2021-01-26","2021-01-27,2021-01-28",,"2021-02-03,2021-02-04","2021-02-05,2021-02-05","2021-02-06,2021-02-07","2021-02-13,2021-02-13","2021-02-14,2021-02-15","2021-02-15,2021-02-15","2021-02-16,2021-02-17","2021-02-08,2021-02-08","2021-02-09,2021-02-09","2021-02-10,2021-02-10","2021-02-11,2021-02-12"
WhiBlu5805F,,"2021-01-25,2021-01-25","2021-01-26,2021-01-26","2021-01-27,2021-01-28","2021-01-18,2021-01-18","2021-01-19,2021-01-19","2021-01-20,2021-01-20","2021-01-21,2021-01-22","2021-02-05,2021-02-05","2021-02-06,2021-02-07",,"2021-02-03,2021-02-04","2021-02-08,2021-02-08","2021-02-09,2021-02-09","2021-02-10,2021-02-10","2021-02-11,2021-02-12","2021-02-13,2021-02-13","2021-02-14,2021-02-15","2021-02-15,2021-02-15","2021-02-16,2021-02-17"
BluWhi0398F,"2020-11-02,2020-11-02","2020-11-03,2020-11-03","2020-11-04,2020-11-04","2020-11-05,2020-11-06","2020-11-07,2020-11-07","2020-11-08,2020-11-08","2020-11-09,2020-11-09","2020-11-10,2020-11-11","2020-11-16,2020-11-16","2020-11-17,2020-11-18","2020-11-19,2020-11-19","2020-11-20,2020-11-22","2020-11-30,2020-11-30","2020-12-01,2020-12-01","2020-12-02,2020-12-02","2020-12-03,2020-12-04","2020-11-23,2020-11-23","2020-11-24,2020-11-24","2020-11-25,2020-11-25","2020-11-26,2020-11-27"
BluWhi3230M,"2020-11-02,2020-11-02","2020-11-03,2020-11-03","2020-11-04,2020-11-04","2020-11-05,2020-11-06","2020-11-07,2020-11-07","2020-11-08,2020-11-08","2020-11-09,2020-11-09","2020-11-10,2020-11-11","2020-11-16,2020-11-16","2020-11-17,2020-11-18","2020-11-19,2020-11-19","2020-11-20,2020-11-22","2020-11-30,2020-11-30","2020-12-01,2020-12-01","2020-12-02,2020-12-02","2020-12-03,2020-12-03","2020-11-23,2020-11-23","2020-11-24,2020-11-24","2020-11-25,2020-11-25","2020-11-26,2020-11-27"
GraYel7337F,"2020-11-07,2020-11-07","2020-11-08,2020-11-08","2020-11-09,2020-11-09","2020-11-10,2020-11-11","2020-11-02,2020-11-02","2020-11-03,2020-11-03","2020-11-04,2020-11-04","2020-11-05,2020-11-06","2020-11-19,2020-11-19","2020-11-20,2020-11-22","2020-11-16,2020-11-16","2020-11-17,2020-11-18","2020-11-23,2020-11-23","2020-11-24,2020-11-24","2020-11-25,2020-11-25","2020-11-26,2020-11-27","2020-11-30,2020-11-30","2020-12-01,2020-12-01","2020-12-02,2020-12-02","2020-12-03,2020-12-04"
GreWhi2703M,"2020-11-07,2020-11-07","2020-11-08,2020-11-08","2020-11-09,2020-11-09","2020-11-10,2020-11-11","2020-11-02,2020-11-02","2020-11-03,2020-11-03","2020-11-04,2020-11-04","2020-11-05,2020-11-06","2020-11-19,2020-11-19","2020-11-20,2020-11-22","2020-11-16,2020-11-16","2020-11-17,2020-11-18","2020-11-23,2020-11-23","2020-11-24,2020-11-24","2020-11-25,2020-11-25","2020-11-26,2020-11-27","2020-11-30,2020-11-30","2020-12-01,2020-12-01","2020-12-02,2020-12-02","2020-12-03,2020-12-04"
HpiGre8613M,"2021-06-21,2021-06-21","2021-06-22,2021-06-22","2021-06-23,2021-06-23","2021-06-24,2021-06-25","2021-06-14,2021-06-29","2021-06-15,2021-06-29","2021-06-16,2021-06-30","2021-06-17,2021-07-02","2021-07-13,2021-07-13","2021-07-14,2021-07-15","2021-07-16,2021-07-16","2021-07-17,2021-07-18","2021-07-19,2021-07-19","2021-07-20,2021-07-20","2021-07-21,2021-07-21","2021-07-22,2021-07-23","2021-07-24,2021-07-24","2021-07-25,2021-07-25","2021-07-26,2021-07-26","2021-07-27,2021-07-28"
BluGre4315M,"2021-06-14,2021-06-29","2021-06-15,2021-06-29","2021-06-16,2021-06-30","2021-06-17,2021-07-02","2021-06-21,2021-06-21","2021-06-22,2021-06-22","2021-06-23,2021-06-23","2021-06-24,2021-06-25","2021-07-16,2021-07-16","2021-07-17,2021-07-18","2021-07-13,2021-07-13","2021-07-14,2021-07-15","2021-07-24,2021-07-24","2021-07-25,2021-07-25","2021-07-26,2021-07-26","2021-07-27,2021-07-28","2021-07-19,2021-07-19","2021-07-20,2021-07-20","2021-07-21,2021-07-21","2021-07-22,2021-07-23"
RedGra7912M,"2021-06-14,2021-06-29","2021-06-15,2021-06-29","2021-06-16,2021-06-30","2021-06-17,2021-07-02","2021-06-21,2021-06-21","2021-06-22,2021-06-22","2021-06-23,2021-06-23","2021-06-24,2021-06-25","2021-07-16,2021-07-16","2021-07-17,2021-07-18","2021-07-13,2021-07-13","2021-07-14,2021-07-15","2021-07-24,2021-07-24","2021-07-25,2021-07-25","2021-07-26,2021-07-26","2021-07-27,2021-07-28","2021-07-19,2021-07-19","2021-07-20,2021-07-20","2021-07-21,2021-07-21","2021-07-22,2021-07-23"
BluRed8773M,"2021-06-21,2021-06-21","2021-06-22,2021-06-22","2021-06-23,2021-06-23","2021-06-24,2021-06-25","2021-06-14,2021-06-29","2021-06-15,2021-06-29","2021-06-16,2021-06-30","2021-06-17,2021-07-02","2021-07-13,2021-07-13","2021-07-14,2021-07-15","2021-07-16,2021-07-16","2021-07-17,2021-07-18","2021-07-19,2021-07-19","2021-07-20,2021-07-20","2021-07-21,2021-07-21","2021-07-22,2021-07-23","2021-07-24,2021-07-24","2021-07-25,2021-07-25","2021-07-26,2021-07-26","2021-07-27,2021-07-28"
