Subject,Date_Lesioned,LH_Lesion_Size,RH_Lesion_Size,Total_Lesion_Size,Hippocampus_Affected
GraWhi4040F,6/25/19,76082075,253347900,329429975,FALSE
XXXHpi0038M,6/26/19,147836250,63015600,210851850,FALSE
BlaGre1349M,6/26/19,202323775,315227225,517551000,FALSE
BluYel2571F,5/2/19,0,0,0,FALSE
GreBla3404M,5/3/19,342048200,80934775,422982975,FALSE
GreBlu5039F,5/2/19,303389425,0,303389425,TRUE
GreOra0819F,4/5/19,326827700,261013400,587841100,FALSE
XXXOra0037F,9/6/19,501660575,241844175,743504750,FALSE
WhiWhi2526M,9/6/19,3371000,15746500,19117500,FALSE
YelPur7906M,9/6/19,0,0,0,FALSE