,Subject,Counts,Rewarded,Treatment,CallType,k
0,GreBlu5039F,"(11, 19)",False,NCM,SO,0
1,GreBlu5039F,"(10, 18)",True,NCM,SO,0
2,GreBla3404M,"(5, 13)",False,NCM,SO,0
3,GreBla3404M,"(7, 15)",True,NCM,SO,0
4,GraWhi4040F,"(1, 9)",False,NCM,SO,0
5,GraWhi4040F,"(10, 18)",True,NCM,SO,0
6,BlaGre1349M,"(1, 9)",False,NCM,SO,0
7,BlaGre1349M,"(1, 9)",True,NCM,SO,0
8,XXXHpi0038M,"(7, 15)",False,NCM,SO,0
9,XXXHpi0038M,"(13, 21)",True,NCM,SO,0
10,XXXOra0037F,"(3, 11)",False,NCM,SO,0
11,XXXOra0037F,"(8, 16)",True,NCM,SO,0
12,XXXBlu0031M,"(0, 8)",False,NCM,SO,0
13,XXXBlu0031M,"(4, 12)",True,NCM,SO,0
14,HpiGre0651M,"(1, 9)",False,NCM,SO,0
15,HpiGre0651M,"(4, 12)",True,NCM,SO,0
16,RedHpi0710F,"(3, 11)",False,NCM,SO,0
17,RedHpi0710F,"(1, 9)",True,NCM,SO,0
18,WhiBlu5805F,"(4, 12)",False,NCM,SO,0
19,WhiBlu5805F,"(2, 10)",True,NCM,SO,0
20,GreBlu5039F,"(10, 18)",False,NCM,SO,1
21,GreBlu5039F,"(2, 10)",True,NCM,SO,1
22,GreBla3404M,"(5, 13)",False,NCM,SO,1
23,GreBla3404M,"(2, 10)",True,NCM,SO,1
24,GraWhi4040F,"(2, 10)",False,NCM,SO,1
25,GraWhi4040F,"(7, 15)",True,NCM,SO,1
26,BlaGre1349M,"(9, 17)",False,NCM,SO,1
27,BlaGre1349M,"(3, 11)",True,NCM,SO,1
28,XXXHpi0038M,"(21, 29)",False,NCM,SO,1
29,XXXHpi0038M,"(8, 16)",True,NCM,SO,1
30,XXXOra0037F,"(10, 18)",False,NCM,SO,1
31,XXXOra0037F,"(4, 12)",True,NCM,SO,1
32,XXXBlu0031M,"(1, 9)",False,NCM,SO,1
33,XXXBlu0031M,"(2, 10)",True,NCM,SO,1
34,HpiGre0651M,"(1, 9)",False,NCM,SO,1
35,HpiGre0651M,"(0, 8)",True,NCM,SO,1
36,RedHpi0710F,"(9, 17)",False,NCM,SO,1
37,RedHpi0710F,"(1, 9)",True,NCM,SO,1
38,WhiBlu5805F,"(4, 12)",False,NCM,SO,1
39,WhiBlu5805F,"(0, 8)",True,NCM,SO,1
40,GreBlu5039F,"(5, 13)",False,NCM,SO,2
41,GreBlu5039F,"(6, 14)",True,NCM,SO,2
42,GreBla3404M,"(10, 18)",False,NCM,SO,2
43,GreBla3404M,"(8, 16)",True,NCM,SO,2
44,GraWhi4040F,"(7, 15)",False,NCM,SO,2
45,GraWhi4040F,"(6, 14)",True,NCM,SO,2
46,BlaGre1349M,"(12, 20)",False,NCM,SO,2
47,BlaGre1349M,"(2, 10)",True,NCM,SO,2
48,XXXHpi0038M,"(15, 23)",False,NCM,SO,2
49,XXXHpi0038M,"(7, 15)",True,NCM,SO,2
50,XXXOra0037F,"(2, 10)",False,NCM,SO,2
51,XXXOra0037F,"(1, 9)",True,NCM,SO,2
52,XXXBlu0031M,"(4, 12)",False,NCM,SO,2
53,XXXBlu0031M,"(1, 9)",True,NCM,SO,2
54,HpiGre0651M,"(1, 9)",False,NCM,SO,2
55,HpiGre0651M,"(4, 12)",True,NCM,SO,2
56,RedHpi0710F,"(2, 10)",False,NCM,SO,2
57,RedHpi0710F,"(7, 15)",True,NCM,SO,2
58,WhiBlu5805F,"(5, 13)",False,NCM,SO,2
59,WhiBlu5805F,"(1, 9)",True,NCM,SO,2
60,GreBlu5039F,"(7, 15)",False,NCM,SO,3
61,GreBlu5039F,"(2, 10)",True,NCM,SO,3
62,GreBla3404M,"(4, 12)",False,NCM,SO,3
63,GreBla3404M,"(5, 13)",True,NCM,SO,3
64,GraWhi4040F,"(3, 11)",False,NCM,SO,3
65,GraWhi4040F,"(7, 15)",True,NCM,SO,3
66,BlaGre1349M,"(5, 13)",False,NCM,SO,3
67,BlaGre1349M,"(0, 8)",True,NCM,SO,3
68,XXXHpi0038M,"(14, 22)",False,NCM,SO,3
69,XXXHpi0038M,"(9, 17)",True,NCM,SO,3
70,XXXOra0037F,"(2, 10)",False,NCM,SO,3
71,XXXOra0037F,"(4, 12)",True,NCM,SO,3
72,XXXBlu0031M,"(0, 8)",False,NCM,SO,3
73,XXXBlu0031M,"(0, 8)",True,NCM,SO,3
74,HpiGre0651M,"(2, 10)",False,NCM,SO,3
75,HpiGre0651M,"(1, 9)",True,NCM,SO,3
76,RedHpi0710F,"(2, 10)",False,NCM,SO,3
77,RedHpi0710F,"(5, 13)",True,NCM,SO,3
78,WhiBlu5805F,"(5, 13)",False,NCM,SO,3
79,WhiBlu5805F,"(0, 8)",True,NCM,SO,3
80,GreBlu5039F,"(6, 14)",False,NCM,SO,4
81,GreBlu5039F,"(2, 10)",True,NCM,SO,4
82,GreBla3404M,"(25, 33)",False,NCM,SO,4
83,GreBla3404M,"(5, 13)",True,NCM,SO,4
84,GraWhi4040F,"(3, 11)",False,NCM,SO,4
85,GraWhi4040F,"(2, 10)",True,NCM,SO,4
86,BlaGre1349M,"(10, 18)",False,NCM,SO,4
87,BlaGre1349M,"(0, 8)",True,NCM,SO,4
88,XXXHpi0038M,"(47, 55)",False,NCM,SO,4
89,XXXHpi0038M,"(7, 15)",True,NCM,SO,4
90,XXXOra0037F,"(2, 10)",False,NCM,SO,4
91,XXXOra0037F,"(5, 13)",True,NCM,SO,4
92,XXXBlu0031M,"(14, 22)",False,NCM,SO,4
93,XXXBlu0031M,"(0, 8)",True,NCM,SO,4
94,HpiGre0651M,"(4, 12)",False,NCM,SO,4
95,HpiGre0651M,"(5, 13)",True,NCM,SO,4
96,RedHpi0710F,"(10, 18)",False,NCM,SO,4
97,RedHpi0710F,"(1, 9)",True,NCM,SO,4
98,WhiBlu5805F,"(3, 11)",False,NCM,SO,4
99,WhiBlu5805F,"(1, 9)",True,NCM,SO,4
100,GreBlu5039F,"(13, 21)",False,NCM,SO,5
101,GreBlu5039F,"(0, 8)",True,NCM,SO,5
102,GreBla3404M,"(20, 28)",False,NCM,SO,5
103,GreBla3404M,"(4, 12)",True,NCM,SO,5
104,GraWhi4040F,"(9, 17)",False,NCM,SO,5
105,GraWhi4040F,"(5, 13)",True,NCM,SO,5
106,BlaGre1349M,"(17, 25)",False,NCM,SO,5
107,BlaGre1349M,"(4, 12)",True,NCM,SO,5
108,XXXHpi0038M,"(2, 10)",False,NCM,SO,5
109,XXXHpi0038M,"(21, 29)",True,NCM,SO,5
110,XXXOra0037F,"(5, 13)",False,NCM,SO,5
111,XXXOra0037F,"(5, 13)",True,NCM,SO,5
112,XXXBlu0031M,"(5, 13)",False,NCM,SO,5
113,XXXBlu0031M,"(1, 9)",True,NCM,SO,5
114,HpiGre0651M,"(4, 12)",False,NCM,SO,5
115,HpiGre0651M,"(0, 8)",True,NCM,SO,5
116,RedHpi0710F,"(1, 9)",False,NCM,SO,5
117,RedHpi0710F,"(2, 10)",True,NCM,SO,5
118,WhiBlu5805F,"(2, 10)",False,NCM,SO,5
119,WhiBlu5805F,"(0, 8)",True,NCM,SO,5
120,GreBlu5039F,"(7, 15)",False,NCM,SO,6
121,GreBlu5039F,"(3, 11)",True,NCM,SO,6
122,GreBla3404M,"(14, 22)",False,NCM,SO,6
123,GreBla3404M,"(4, 12)",True,NCM,SO,6
124,GraWhi4040F,"(8, 16)",False,NCM,SO,6
125,GraWhi4040F,"(3, 11)",True,NCM,SO,6
126,BlaGre1349M,"(4, 12)",False,NCM,SO,6
127,BlaGre1349M,"(1, 9)",True,NCM,SO,6
128,XXXHpi0038M,"(20, 28)",False,NCM,SO,6
129,XXXHpi0038M,"(0, 8)",True,NCM,SO,6
130,XXXOra0037F,"(3, 11)",False,NCM,SO,6
131,XXXOra0037F,"(3, 11)",True,NCM,SO,6
132,XXXBlu0031M,"(1, 9)",False,NCM,SO,6
133,XXXBlu0031M,"(0, 8)",True,NCM,SO,6
134,HpiGre0651M,"(3, 11)",False,NCM,SO,6
135,HpiGre0651M,"(0, 8)",True,NCM,SO,6
136,RedHpi0710F,"(1, 9)",False,NCM,SO,6
137,RedHpi0710F,"(0, 8)",True,NCM,SO,6
138,WhiBlu5805F,"(5, 13)",False,NCM,SO,6
139,WhiBlu5805F,"(4, 12)",True,NCM,SO,6
140,GreBlu5039F,"(12, 20)",False,NCM,SO,7
141,GreBlu5039F,"(1, 9)",True,NCM,SO,7
142,GreBla3404M,"(13, 21)",False,NCM,SO,7
143,GreBla3404M,"(0, 8)",True,NCM,SO,7
144,GraWhi4040F,"(7, 15)",False,NCM,SO,7
145,GraWhi4040F,"(1, 9)",True,NCM,SO,7
146,BlaGre1349M,"(1, 9)",False,NCM,SO,7
147,BlaGre1349M,"(6, 14)",True,NCM,SO,7
148,XXXHpi0038M,"(14, 22)",False,NCM,SO,7
149,XXXHpi0038M,"(2, 10)",True,NCM,SO,7
150,XXXOra0037F,"(5, 13)",False,NCM,SO,7
151,XXXOra0037F,"(7, 15)",True,NCM,SO,7
152,XXXBlu0031M,"(2, 10)",False,NCM,SO,7
153,XXXBlu0031M,"(1, 9)",True,NCM,SO,7
154,HpiGre0651M,"(3, 11)",False,NCM,SO,7
155,HpiGre0651M,"(0, 8)",True,NCM,SO,7
156,RedHpi0710F,"(4, 12)",False,NCM,SO,7
157,RedHpi0710F,"(0, 8)",True,NCM,SO,7
158,WhiBlu5805F,"(3, 11)",False,NCM,SO,7
159,WhiBlu5805F,"(0, 8)",True,NCM,SO,7
160,GreBlu5039F,"(4, 12)",False,NCM,SO,8
161,GreBlu5039F,"(0, 8)",True,NCM,SO,8
162,GreBla3404M,"(9, 17)",False,NCM,SO,8
163,GreBla3404M,"(4, 12)",True,NCM,SO,8
164,GraWhi4040F,"(8, 16)",False,NCM,SO,8
165,GraWhi4040F,"(3, 11)",True,NCM,SO,8
166,BlaGre1349M,"(9, 17)",False,NCM,SO,8
167,BlaGre1349M,"(0, 8)",True,NCM,SO,8
168,XXXHpi0038M,"(18, 26)",False,NCM,SO,8
169,XXXHpi0038M,"(3, 11)",True,NCM,SO,8
170,XXXOra0037F,"(0, 8)",False,NCM,SO,8
171,XXXOra0037F,"(3, 11)",True,NCM,SO,8
172,XXXBlu0031M,"(4, 12)",False,NCM,SO,8
173,XXXBlu0031M,"(0, 8)",True,NCM,SO,8
174,HpiGre0651M,"(3, 11)",False,NCM,SO,8
175,HpiGre0651M,"(0, 8)",True,NCM,SO,8
176,RedHpi0710F,"(6, 14)",False,NCM,SO,8
177,RedHpi0710F,"(0, 8)",True,NCM,SO,8
178,WhiBlu5805F,"(5, 13)",False,NCM,SO,8
179,WhiBlu5805F,"(2, 10)",True,NCM,SO,8
180,GreBlu5039F,"(7, 15)",False,NCM,SO,9
181,GreBlu5039F,"(0, 8)",True,NCM,SO,9
182,GreBla3404M,"(16, 24)",False,NCM,SO,9
183,GreBla3404M,"(7, 15)",True,NCM,SO,9
184,GraWhi4040F,"(15, 23)",False,NCM,SO,9
185,GraWhi4040F,"(1, 9)",True,NCM,SO,9
186,BlaGre1349M,"(3, 11)",False,NCM,SO,9
187,BlaGre1349M,"(0, 8)",True,NCM,SO,9
188,XXXHpi0038M,"(24, 32)",False,NCM,SO,9
189,XXXHpi0038M,"(5, 13)",True,NCM,SO,9
190,XXXOra0037F,"(9, 17)",False,NCM,SO,9
191,XXXOra0037F,"(1, 9)",True,NCM,SO,9
192,XXXBlu0031M,"(2, 10)",False,NCM,SO,9
193,XXXBlu0031M,"(1, 9)",True,NCM,SO,9
194,HpiGre0651M,"(1, 9)",False,NCM,SO,9
195,HpiGre0651M,"(0, 8)",True,NCM,SO,9
196,RedHpi0710F,"(4, 12)",False,NCM,SO,9
197,RedHpi0710F,"(1, 9)",True,NCM,SO,9
198,WhiBlu5805F,"(3, 11)",False,NCM,SO,9
199,WhiBlu5805F,"(0, 8)",True,NCM,SO,9
200,GreBlu5039F,"(7, 15)",False,NCM,SO,10
201,GreBlu5039F,"(2, 10)",True,NCM,SO,10
202,GreBla3404M,"(10, 18)",False,NCM,SO,10
203,GreBla3404M,"(3, 11)",True,NCM,SO,10
204,GraWhi4040F,"(9, 17)",False,NCM,SO,10
205,GraWhi4040F,"(5, 13)",True,NCM,SO,10
206,BlaGre1349M,"(5, 13)",False,NCM,SO,10
207,BlaGre1349M,"(2, 10)",True,NCM,SO,10
208,XXXHpi0038M,"(19, 27)",False,NCM,SO,10
209,XXXHpi0038M,"(8, 16)",True,NCM,SO,10
210,XXXOra0037F,"(7, 15)",False,NCM,SO,10
211,XXXOra0037F,"(5, 13)",True,NCM,SO,10
212,XXXBlu0031M,"(2, 10)",False,NCM,SO,10
213,XXXBlu0031M,"(0, 8)",True,NCM,SO,10
214,HpiGre0651M,"(2, 10)",False,NCM,SO,10
215,HpiGre0651M,"(0, 8)",True,NCM,SO,10
216,RedHpi0710F,"(1, 9)",False,NCM,SO,10
217,RedHpi0710F,"(1, 9)",True,NCM,SO,10
218,WhiBlu5805F,"(2, 10)",False,NCM,SO,10
219,WhiBlu5805F,"(2, 10)",True,NCM,SO,10
220,GreBlu5039F,"(6, 12)",False,NCM,DC,0
221,GreBlu5039F,"(5, 11)",True,NCM,DC,0
222,GreBla3404M,"(0, 6)",False,NCM,DC,0
223,GreBla3404M,"(10, 16)",True,NCM,DC,0
224,GraWhi4040F,"(3, 9)",False,NCM,DC,0
225,GraWhi4040F,"(31, 37)",True,NCM,DC,0
226,BlaGre1349M,"(19, 25)",False,NCM,DC,0
227,BlaGre1349M,"(14, 20)",True,NCM,DC,0
228,XXXHpi0038M,"(2, 8)",False,NCM,DC,0
229,XXXHpi0038M,"(10, 16)",True,NCM,DC,0
230,XXXOra0037F,"(1, 7)",False,NCM,DC,0
231,XXXOra0037F,"(4, 10)",True,NCM,DC,0
232,XXXBlu0031M,"(4, 10)",False,NCM,DC,0
233,XXXBlu0031M,"(2, 8)",True,NCM,DC,0
234,HpiGre0651M,"(8, 14)",False,NCM,DC,0
235,HpiGre0651M,"(6, 12)",True,NCM,DC,0
236,RedHpi0710F,"(6, 12)",False,NCM,DC,0
237,RedHpi0710F,"(6, 12)",True,NCM,DC,0
238,WhiBlu5805F,"(13, 19)",False,NCM,DC,0
239,WhiBlu5805F,"(14, 20)",True,NCM,DC,0
240,GreBlu5039F,"(8, 14)",False,NCM,DC,1
241,GreBlu5039F,"(7, 13)",True,NCM,DC,1
242,GreBla3404M,"(3, 9)",False,NCM,DC,1
243,GreBla3404M,"(17, 23)",True,NCM,DC,1
244,GraWhi4040F,"(3, 9)",False,NCM,DC,1
245,GraWhi4040F,"(9, 15)",True,NCM,DC,1
246,BlaGre1349M,"(15, 21)",False,NCM,DC,1
247,BlaGre1349M,"(4, 10)",True,NCM,DC,1
248,XXXHpi0038M,"(39, 45)",False,NCM,DC,1
249,XXXHpi0038M,"(101, 107)",True,NCM,DC,1
250,XXXOra0037F,"(1, 7)",False,NCM,DC,1
251,XXXOra0037F,"(23, 29)",True,NCM,DC,1
252,XXXBlu0031M,"(5, 11)",False,NCM,DC,1
253,XXXBlu0031M,"(3, 9)",True,NCM,DC,1
254,HpiGre0651M,"(0, 6)",False,NCM,DC,1
255,HpiGre0651M,"(12, 18)",True,NCM,DC,1
256,RedHpi0710F,"(3, 9)",False,NCM,DC,1
257,RedHpi0710F,"(1, 7)",True,NCM,DC,1
258,WhiBlu5805F,"(18, 24)",False,NCM,DC,1
259,WhiBlu5805F,"(7, 13)",True,NCM,DC,1
260,GreBlu5039F,"(11, 17)",False,NCM,DC,2
261,GreBlu5039F,"(6, 12)",True,NCM,DC,2
262,GreBla3404M,"(24, 30)",False,NCM,DC,2
263,GreBla3404M,"(2, 8)",True,NCM,DC,2
264,GraWhi4040F,"(9, 15)",False,NCM,DC,2
265,GraWhi4040F,"(7, 13)",True,NCM,DC,2
266,BlaGre1349M,"(7, 13)",False,NCM,DC,2
267,BlaGre1349M,"(12, 18)",True,NCM,DC,2
268,XXXHpi0038M,"(114, 120)",False,NCM,DC,2
269,XXXHpi0038M,"(39, 45)",True,NCM,DC,2
270,XXXOra0037F,"(13, 19)",False,NCM,DC,2
271,XXXOra0037F,"(8, 14)",True,NCM,DC,2
272,XXXBlu0031M,"(1, 7)",False,NCM,DC,2
273,XXXBlu0031M,"(1, 7)",True,NCM,DC,2
274,HpiGre0651M,"(4, 10)",False,NCM,DC,2
275,HpiGre0651M,"(5, 11)",True,NCM,DC,2
276,RedHpi0710F,"(2, 8)",False,NCM,DC,2
277,RedHpi0710F,"(1, 7)",True,NCM,DC,2
278,WhiBlu5805F,"(3, 9)",False,NCM,DC,2
279,WhiBlu5805F,"(4, 10)",True,NCM,DC,2
280,GreBlu5039F,"(6, 12)",False,NCM,DC,3
281,GreBlu5039F,"(4, 10)",True,NCM,DC,3
282,GreBla3404M,"(3, 9)",False,NCM,DC,3
283,GreBla3404M,"(6, 12)",True,NCM,DC,3
284,GraWhi4040F,"(28, 34)",False,NCM,DC,3
285,GraWhi4040F,"(6, 12)",True,NCM,DC,3
286,BlaGre1349M,"(4, 10)",False,NCM,DC,3
287,BlaGre1349M,"(14, 20)",True,NCM,DC,3
288,XXXHpi0038M,"(73, 79)",False,NCM,DC,3
289,XXXHpi0038M,"(27, 33)",True,NCM,DC,3
290,XXXOra0037F,"(18, 24)",False,NCM,DC,3
291,XXXOra0037F,"(12, 18)",True,NCM,DC,3
292,XXXBlu0031M,"(0, 6)",False,NCM,DC,3
293,XXXBlu0031M,"(4, 10)",True,NCM,DC,3
294,HpiGre0651M,"(8, 14)",False,NCM,DC,3
295,HpiGre0651M,"(4, 10)",True,NCM,DC,3
296,RedHpi0710F,"(5, 11)",False,NCM,DC,3
297,RedHpi0710F,"(2, 8)",True,NCM,DC,3
298,WhiBlu5805F,"(6, 12)",False,NCM,DC,3
299,WhiBlu5805F,"(12, 18)",True,NCM,DC,3
300,GreBlu5039F,"(6, 12)",False,NCM,DC,4
301,GreBlu5039F,"(7, 13)",True,NCM,DC,4
302,GreBla3404M,"(8, 14)",False,NCM,DC,4
303,GreBla3404M,"(19, 25)",True,NCM,DC,4
304,GraWhi4040F,"(15, 21)",False,NCM,DC,4
305,GraWhi4040F,"(15, 21)",True,NCM,DC,4
306,BlaGre1349M,"(9, 15)",False,NCM,DC,4
307,BlaGre1349M,"(7, 13)",True,NCM,DC,4
308,XXXHpi0038M,"(131, 137)",False,NCM,DC,4
309,XXXHpi0038M,"(20, 25)",True,NCM,DC,4
310,XXXOra0037F,"(36, 42)",False,NCM,DC,4
