,Subject,Counts,Rewarded,Treatment,k
0,GreBlu5039F,"(17, 31)",False,NCM,0
1,GreBlu5039F,"(15, 29)",True,NCM,0
2,GreBla3404M,"(5, 19)",False,NCM,0
3,GreBla3404M,"(17, 31)",True,NCM,0
4,GraWhi4040F,"(4, 18)",False,NCM,0
5,GraWhi4040F,"(41, 55)",True,NCM,0
6,BlaGre1349M,"(20, 34)",False,NCM,0
7,BlaGre1349M,"(15, 29)",True,NCM,0
8,XXXHpi0038M,"(9, 23)",False,NCM,0
9,XXXHpi0038M,"(23, 37)",True,NCM,0
10,XXXOra0037F,"(4, 18)",False,NCM,0
11,XXXOra0037F,"(12, 26)",True,NCM,0
12,XXXBlu0031M,"(4, 18)",False,NCM,0
13,XXXBlu0031M,"(6, 20)",True,NCM,0
14,HpiGre0651M,"(9, 23)",False,NCM,0
15,HpiGre0651M,"(10, 24)",True,NCM,0
16,RedHpi0710F,"(9, 23)",False,NCM,0
17,RedHpi0710F,"(7, 21)",True,NCM,0
18,WhiBlu5805F,"(17, 31)",False,NCM,0
19,WhiBlu5805F,"(16, 30)",True,NCM,0
20,GreBlu5039F,"(18, 32)",False,NCM,1
21,GreBlu5039F,"(9, 23)",True,NCM,1
22,GreBla3404M,"(8, 22)",False,NCM,1
23,GreBla3404M,"(19, 33)",True,NCM,1
24,GraWhi4040F,"(5, 19)",False,NCM,1
25,GraWhi4040F,"(16, 30)",True,NCM,1
26,BlaGre1349M,"(24, 38)",False,NCM,1
27,BlaGre1349M,"(7, 21)",True,NCM,1
28,XXXHpi0038M,"(60, 74)",False,NCM,1
29,XXXHpi0038M,"(109, 123)",True,NCM,1
30,XXXOra0037F,"(11, 25)",False,NCM,1
31,XXXOra0037F,"(27, 41)",True,NCM,1
32,XXXBlu0031M,"(6, 20)",False,NCM,1
33,XXXBlu0031M,"(5, 19)",True,NCM,1
34,HpiGre0651M,"(1, 15)",False,NCM,1
35,HpiGre0651M,"(12, 26)",True,NCM,1
36,RedHpi0710F,"(12, 26)",False,NCM,1
37,RedHpi0710F,"(2, 16)",True,NCM,1
38,WhiBlu5805F,"(22, 36)",False,NCM,1
39,WhiBlu5805F,"(7, 21)",True,NCM,1
40,GreBlu5039F,"(16, 30)",False,NCM,2
41,GreBlu5039F,"(12, 26)",True,NCM,2
42,GreBla3404M,"(34, 48)",False,NCM,2
43,GreBla3404M,"(10, 24)",True,NCM,2
44,GraWhi4040F,"(16, 30)",False,NCM,2
45,GraWhi4040F,"(13, 27)",True,NCM,2
46,BlaGre1349M,"(19, 33)",False,NCM,2
47,BlaGre1349M,"(14, 28)",True,NCM,2
48,XXXHpi0038M,"(129, 143)",False,NCM,2
49,XXXHpi0038M,"(46, 60)",True,NCM,2
50,XXXOra0037F,"(15, 29)",False,NCM,2
51,XXXOra0037F,"(9, 23)",True,NCM,2
52,XXXBlu0031M,"(5, 19)",False,NCM,2
53,XXXBlu0031M,"(2, 16)",True,NCM,2
54,HpiGre0651M,"(5, 19)",False,NCM,2
55,HpiGre0651M,"(9, 23)",True,NCM,2
56,RedHpi0710F,"(4, 18)",False,NCM,2
57,RedHpi0710F,"(8, 22)",True,NCM,2
58,WhiBlu5805F,"(8, 22)",False,NCM,2
59,WhiBlu5805F,"(5, 19)",True,NCM,2
60,GreBlu5039F,"(13, 27)",False,NCM,3
61,GreBlu5039F,"(6, 20)",True,NCM,3
62,GreBla3404M,"(7, 21)",False,NCM,3
63,GreBla3404M,"(11, 25)",True,NCM,3
64,GraWhi4040F,"(31, 45)",False,NCM,3
65,GraWhi4040F,"(13, 27)",True,NCM,3
66,BlaGre1349M,"(9, 23)",False,NCM,3
67,BlaGre1349M,"(14, 28)",True,NCM,3
68,XXXHpi0038M,"(87, 101)",False,NCM,3
69,XXXHpi0038M,"(36, 50)",True,NCM,3
70,XXXOra0037F,"(20, 34)",False,NCM,3
71,XXXOra0037F,"(16, 30)",True,NCM,3
72,XXXBlu0031M,"(0, 14)",False,NCM,3
73,XXXBlu0031M,"(4, 18)",True,NCM,3
74,HpiGre0651M,"(10, 24)",False,NCM,3
75,HpiGre0651M,"(5, 19)",True,NCM,3
76,RedHpi0710F,"(7, 21)",False,NCM,3
77,RedHpi0710F,"(7, 21)",True,NCM,3
78,WhiBlu5805F,"(11, 25)",False,NCM,3
79,WhiBlu5805F,"(12, 26)",True,NCM,3
80,GreBlu5039F,"(12, 26)",False,NCM,4
81,GreBlu5039F,"(9, 23)",True,NCM,4
82,GreBla3404M,"(33, 47)",False,NCM,4
83,GreBla3404M,"(24, 38)",True,NCM,4
84,GraWhi4040F,"(18, 32)",False,NCM,4
85,GraWhi4040F,"(17, 31)",True,NCM,4
86,BlaGre1349M,"(19, 33)",False,NCM,4
87,BlaGre1349M,"(7, 21)",True,NCM,4
88,XXXHpi0038M,"(178, 192)",False,NCM,4
89,XXXHpi0038M,"(27, 40)",True,NCM,4
90,XXXOra0037F,"(38, 52)",False,NCM,4
91,XXXOra0037F,"(9, 23)",True,NCM,4
92,XXXBlu0031M,"(18, 32)",False,NCM,4
93,XXXBlu0031M,"(2, 16)",True,NCM,4
94,HpiGre0651M,"(15, 29)",False,NCM,4
95,HpiGre0651M,"(5, 19)",True,NCM,4
96,RedHpi0710F,"(12, 26)",False,NCM,4
97,RedHpi0710F,"(3, 17)",True,NCM,4
98,WhiBlu5805F,"(7, 21)",False,NCM,4
99,WhiBlu5805F,"(2, 16)",True,NCM,4
100,GreBlu5039F,"(21, 35)",False,NCM,5
101,GreBlu5039F,"(0, 14)",True,NCM,5
102,GreBla3404M,"(27, 41)",False,NCM,5
103,GreBla3404M,"(5, 19)",True,NCM,5
104,GraWhi4040F,"(27, 41)",False,NCM,5
105,GraWhi4040F,"(18, 32)",True,NCM,5
106,BlaGre1349M,"(22, 36)",False,NCM,5
107,BlaGre1349M,"(8, 22)",True,NCM,5
108,XXXHpi0038M,"(52, 66)",False,NCM,5
109,XXXHpi0038M,"(32, 45)",True,NCM,5
110,XXXOra0037F,"(22, 36)",False,NCM,5
111,XXXOra0037F,"(6, 20)",True,NCM,5
112,XXXBlu0031M,"(10, 24)",False,NCM,5
113,XXXBlu0031M,"(7, 21)",True,NCM,5
114,HpiGre0651M,"(6, 20)",False,NCM,5
115,HpiGre0651M,"(6, 20)",True,NCM,5
116,RedHpi0710F,"(6, 20)",False,NCM,5
117,RedHpi0710F,"(3, 17)",True,NCM,5
118,WhiBlu5805F,"(4, 18)",False,NCM,5
119,WhiBlu5805F,"(6, 20)",True,NCM,5
120,GreBlu5039F,"(12, 26)",False,NCM,6
121,GreBlu5039F,"(6, 20)",True,NCM,6
122,GreBla3404M,"(19, 33)",False,NCM,6
123,GreBla3404M,"(12, 26)",True,NCM,6
124,GraWhi4040F,"(19, 33)",False,NCM,6
125,GraWhi4040F,"(9, 23)",True,NCM,6
126,BlaGre1349M,"(13, 27)",False,NCM,6
127,BlaGre1349M,"(3, 17)",True,NCM,6
128,XXXHpi0038M,"(74, 88)",False,NCM,6
129,XXXHpi0038M,"(15, 28)",True,NCM,6
130,XXXOra0037F,"(10, 24)",False,NCM,6
131,XXXOra0037F,"(7, 21)",True,NCM,6
132,XXXBlu0031M,"(6, 20)",False,NCM,6
133,XXXBlu0031M,"(3, 17)",True,NCM,6
134,HpiGre0651M,"(8, 22)",False,NCM,6
135,HpiGre0651M,"(16, 30)",True,NCM,6
136,RedHpi0710F,"(5, 19)",False,NCM,6
137,RedHpi0710F,"(3, 17)",True,NCM,6
138,WhiBlu5805F,"(10, 24)",False,NCM,6
139,WhiBlu5805F,"(6, 20)",True,NCM,6
140,GreBlu5039F,"(27, 41)",False,NCM,7
141,GreBlu5039F,"(5, 19)",True,NCM,7
142,GreBla3404M,"(25, 39)",False,NCM,7
143,GreBla3404M,"(8, 22)",True,NCM,7
144,GraWhi4040F,"(15, 29)",False,NCM,7
145,GraWhi4040F,"(14, 28)",True,NCM,7
146,BlaGre1349M,"(15, 29)",False,NCM,7
147,BlaGre1349M,"(9, 23)",True,NCM,7
148,XXXHpi0038M,"(65, 79)",False,NCM,7
149,XXXHpi0038M,"(16, 29)",True,NCM,7
150,XXXOra0037F,"(19, 33)",False,NCM,7
151,XXXOra0037F,"(16, 30)",True,NCM,7
152,XXXBlu0031M,"(4, 18)",False,NCM,7
153,XXXBlu0031M,"(4, 18)",True,NCM,7
154,HpiGre0651M,"(11, 25)",False,NCM,7
155,HpiGre0651M,"(3, 17)",True,NCM,7
156,RedHpi0710F,"(7, 21)",False,NCM,7
157,RedHpi0710F,"(0, 14)",True,NCM,7
158,WhiBlu5805F,"(11, 25)",False,NCM,7
159,WhiBlu5805F,"(2, 16)",True,NCM,7
160,GreBlu5039F,"(16, 30)",False,NCM,8
161,GreBlu5039F,"(0, 14)",True,NCM,8
162,GreBla3404M,"(11, 25)",False,NCM,8
163,GreBla3404M,"(15, 29)",True,NCM,8
164,GraWhi4040F,"(15, 29)",False,NCM,8
165,GraWhi4040F,"(9, 23)",True,NCM,8
166,BlaGre1349M,"(21, 35)",False,NCM,8
167,BlaGre1349M,"(1, 15)",True,NCM,8
168,XXXHpi0038M,"(289, 303)",False,NCM,8
169,XXXHpi0038M,"(4, 16)",True,NCM,8
170,XXXOra0037F,"(23, 37)",False,NCM,8
171,XXXOra0037F,"(6, 20)",True,NCM,8
172,XXXBlu0031M,"(7, 21)",False,NCM,8
173,XXXBlu0031M,"(4, 18)",True,NCM,8
174,HpiGre0651M,"(7, 21)",False,NCM,8
175,HpiGre0651M,"(5, 19)",True,NCM,8
176,RedHpi0710F,"(11, 25)",False,NCM,8
177,RedHpi0710F,"(0, 14)",True,NCM,8
178,WhiBlu5805F,"(9, 23)",False,NCM,8
179,WhiBlu5805F,"(11, 25)",True,NCM,8
180,GreBlu5039F,"(14, 28)",False,NCM,9
181,GreBlu5039F,"(1, 15)",True,NCM,9
182,GreBla3404M,"(21, 35)",False,NCM,9
183,GreBla3404M,"(12, 26)",True,NCM,9
184,GraWhi4040F,"(24, 38)",False,NCM,9
185,GraWhi4040F,"(19, 33)",True,NCM,9
186,BlaGre1349M,"(13, 27)",False,NCM,9
187,BlaGre1349M,"(1, 15)",True,NCM,9
188,XXXHpi0038M,"(33, 46)",False,NCM,9
189,XXXHpi0038M,"(12, 24)",True,NCM,9
190,XXXOra0037F,"(19, 33)",False,NCM,9
191,XXXOra0037F,"(7, 21)",True,NCM,9
192,XXXBlu0031M,"(2, 16)",False,NCM,9
193,XXXBlu0031M,"(2, 16)",True,NCM,9
194,HpiGre0651M,"(9, 23)",False,NCM,9
195,HpiGre0651M,"(4, 18)",True,NCM,9
196,RedHpi0710F,"(5, 19)",False,NCM,9
197,RedHpi0710F,"(1, 15)",True,NCM,9
198,WhiBlu5805F,"(11, 25)",False,NCM,9
199,WhiBlu5805F,"(1, 15)",True,NCM,9
200,GreBlu5039F,"(11, 25)",False,NCM,10
201,GreBlu5039F,"(4, 18)",True,NCM,10
202,GreBla3404M,"(47, 61)",False,NCM,10
203,GreBla3404M,"(6, 20)",True,NCM,10
204,GraWhi4040F,"(19, 33)",False,NCM,10
205,GraWhi4040F,"(11, 25)",True,NCM,10
206,BlaGre1349M,"(15, 29)",False,NCM,10
207,BlaGre1349M,"(6, 20)",True,NCM,10
208,XXXHpi0038M,"(74, 87)",False,NCM,10
209,XXXHpi0038M,"(15, 27)",True,NCM,10
210,XXXOra0037F,"(17, 31)",False,NCM,10
211,XXXOra0037F,"(5, 19)",True,NCM,10
212,XXXBlu0031M,"(6, 20)",False,NCM,10
213,XXXBlu0031M,"(1, 15)",True,NCM,10
214,HpiGre0651M,"(11, 25)",False,NCM,10
215,HpiGre0651M,"(3, 17)",True,NCM,10
216,RedHpi0710F,"(8, 22)",False,NCM,10
217,RedHpi0710F,"(2, 16)",True,NCM,10
218,WhiBlu5805F,"(6, 20)",False,NCM,10
219,WhiBlu5805F,"(7, 21)",True,NCM,10
220,BluWhi0398F,"(12, 26)",False,HVC,0
221,BluWhi0398F,"(30, 44)",True,HVC,0
222,BluWhi3230M,"(8, 22)",False,HVC,0
223,BluWhi3230M,"(17, 31)",True,HVC,0
224,GraYel7337F,"(2, 16)",False,HVC,0
225,GraYel7337F,"(15, 29)",True,HVC,0
226,GreWhi2703M,"(57, 71)",False,HVC,0
227,GreWhi2703M,"(16, 30)",True,HVC,0
228,HpiGre8613M,"(2, 16)",False,HVC,0
229,HpiGre8613M,"(14, 28)",True,HVC,0
230,BluGre4315M,"(3, 17)",False,HVC,0
231,BluGre4315M,"(7, 21)",True,HVC,0
232,BluRed8773M,"(6, 20)",False,HVC,0
233,BluRed8773M,"(9, 23)",True,HVC,0
234,BluWhi0398F,"(59, 73)",False,HVC,1
235,BluWhi0398F,"(19, 33)",True,HVC,1
236,BluWhi3230M,"(15, 29)",False,HVC,1
237,BluWhi3230M,"(8, 22)",True,HVC,1
238,GraYel7337F,"(16, 30)",False,HVC,1
239,GraYel7337F,"(19, 33)",True,HVC,1
240,GreWhi2703M,"(46, 60)",False,HVC,1
241,GreWhi2703M,"(23, 37)",True,HVC,1
242,HpiGre8613M,"(11, 25)",False,HVC,1
243,HpiGre8613M,"(6, 20)",True,HVC,1
244,BluGre4315M,"(13, 27)",False,HVC,1
245,BluGre4315M,"(45, 59)",True,HVC,1
246,BluRed8773M,"(8, 22)",False,HVC,1
247,BluRed8773M,"(11, 25)",True,HVC,1
248,BluWhi0398F,"(31, 45)",False,HVC,2
249,BluWhi0398F,"(16, 30)",True,HVC,2
250,BluWhi3230M,"(26, 40)",False,HVC,2
251,BluWhi3230M,"(25, 39)",True,HVC,2
252,GraYel7337F,"(6, 20)",False,HVC,2
253,GraYel7337F,"(19, 33)",True,HVC,2
254,GreWhi2703M,"(45, 59)",False,HVC,2
255,GreWhi2703M,"(17, 31)",True,HVC,2
256,HpiGre8613M,"(7, 21)",False,HVC,2
257,HpiGre8613M,"(9, 23)",True,HVC,2
258,BluGre4315M,"(45, 59)",False,HVC,2
259,BluGre4315M,"(21, 35)",True,HVC,2
260,BluRed8773M,"(20, 34)",False,HVC,2
261,BluRed8773M,"(3, 17)",True,HVC,2
262,BluWhi0398F,"(38, 52)",False,HVC,3
263,BluWhi0398F,"(11, 25)",True,HVC,3
264,BluWhi3230M,"(24, 38)",False,HVC,3
265,BluWhi3230M,"(20, 34)",True,HVC,3
266,GraYel7337F,"(36, 50)",False,HVC,3
267,GraYel7337F,"(6, 20)",True,HVC,3
268,GreWhi2703M,"(44, 58)",False,HVC,3
269,GreWhi2703M,"(12, 26)",True,HVC,3
270,HpiGre8613M,"(14, 28)",False,HVC,3
271,HpiGre8613M,"(0, 14)",True,HVC,3
272,BluGre4315M,"(61, 75)",False,HVC,3
273,BluGre4315M,"(24, 38)",True,HVC,3
274,BluRed8773M,"(26, 40)",False,HVC,3
275,BluRed8773M,"(2, 16)",True,HVC,3
276,BluWhi0398F,"(22, 36)",False,HVC,4
277,BluWhi0398F,"(27, 41)",True,HVC,4
278,BluWhi3230M,"(45, 59)",False,HVC,4
279,BluWhi3230M,"(17, 31)",True,HVC,4
280,GraYel7337F,"(21, 35)",False,HVC,4
281,GraYel7337F,"(8, 22)",True,HVC,4
282,GreWhi2703M,"(19, 33)",False,HVC,4
283,GreWhi2703M,"(7, 21)",True,HVC,4
284,HpiGre8613M,"(11, 25)",False,HVC,4
285,HpiGre8613M,"(0, 14)",True,HVC,4
286,BluGre4315M,"(84, 98)",False,HVC,4
287,BluGre4315M,"(14, 28)",True,HVC,4
288,BluRed8773M,"(24, 38)",False,HVC,4
289,BluRed8773M,"(12, 26)",True,HVC,4
290,BluWhi0398F,"(24, 38)",False,HVC,5
291,BluWhi0398F,"(25, 39)",True,HVC,5
292,BluWhi3230M,"(17, 31)",False,HVC,5
293,BluWhi3230M,"(16, 30)",True,HVC,5
294,GraYel7337F,"(41, 55)",False,HVC,5
295,GraYel7337F,"(7, 21)",True,HVC,5
296,GreWhi2703M,"(39, 53)",False,HVC,5
297,GreWhi2703M,"(16, 30)",True,HVC,5
298,HpiGre8613M,"(8, 22)",False,HVC,5
299,HpiGre8613M,"(3, 17)",True,HVC,5
300,BluGre4315M,"(43, 57)",False,HVC,5
301,BluGre4315M,"(7, 21)",True,HVC,5
302,BluRed8773M,"(26, 40)",False,HVC,5
303,BluRed8773M,"(3, 17)",True,HVC,5
304,BluWhi0398F,"(30, 44)",False,HVC,6
305,BluWhi0398F,"(27, 41)",True,HVC,6
306,BluWhi3230M,"(29, 43)",False,HVC,6
307,BluWhi3230M,"(6, 20)",True,HVC,6
308,GraYel7337F,"(23, 37)",False,HVC,6
309,GraYel7337F,"(2, 16)",True,HVC,6
310,GreWhi2703M,"(37, 51)",False,HVC,6
311,GreWhi2703M,"(2, 16)",True,HVC,6
312,HpiGre8613M,"(16, 30)",False,HVC,6
313,HpiGre8613M,"(2, 16)",True,HVC,6
314,BluGre4315M,"(34, 48)",False,HVC,6
315,BluGre4315M,"(7, 21)",True,HVC,6
316,BluRed8773M,"(25, 39)",False,HVC,6
317,BluRed8773M,"(2, 16)",True,HVC,6
318,BluWhi0398F,"(29, 43)",False,HVC,7
319,BluWhi0398F,"(10, 24)",True,HVC,7
320,BluWhi3230M,"(25, 39)",False,HVC,7
321,BluWhi3230M,"(11, 25)",True,HVC,7
322,GraYel7337F,"(18, 32)",False,HVC,7
323,GraYel7337F,"(5, 19)",True,HVC,7
324,GreWhi2703M,"(24, 38)",False,HVC,7
325,GreWhi2703M,"(18, 32)",True,HVC,7
326,HpiGre8613M,"(8, 22)",False,HVC,7
327,HpiGre8613M,"(1, 15)",True,HVC,7
328,BluGre4315M,"(54, 68)",False,HVC,7
329,BluGre4315M,"(5, 19)",True,HVC,7
330,BluRed8773M,"(17, 31)",False,HVC,7
331,BluRed8773M,"(6, 20)",True,HVC,7
332,BluWhi0398F,"(16, 30)",False,HVC,8
333,BluWhi0398F,"(16, 30)",True,HVC,8
334,BluWhi3230M,"(20, 34)",False,HVC,8
335,BluWhi3230M,"(11, 25)",True,HVC,8
336,GraYel7337F,"(9, 23)",False,HVC,8
337,GraYel7337F,"(6, 20)",True,HVC,8
338,GreWhi2703M,"(42, 56)",False,HVC,8
339,GreWhi2703M,"(10, 24)",True,HVC,8
340,HpiGre8613M,"(4, 18)",False,HVC,8
341,HpiGre8613M,"(8, 22)",True,HVC,8
342,BluGre4315M,"(38, 52)",False,HVC,8
343,BluGre4315M,"(9, 23)",True,HVC,8
344,BluRed8773M,"(25, 39)",False,HVC,8
345,BluRed8773M,"(6, 20)",True,HVC,8
346,BluWhi0398F,"(19, 33)",False,HVC,9
347,BluWhi0398F,"(11, 25)",True,HVC,9
348,BluWhi3230M,"(24, 38)",False,HVC,9
349,BluWhi3230M,"(16, 30)",True,HVC,9
350,GraYel7337F,"(14, 28)",False,HVC,9
351,GraYel7337F,"(3, 17)",True,HVC,9
352,GreWhi2703M,"(58, 72)",False,HVC,9
353,GreWhi2703M,"(9, 23)",True,HVC,9
354,HpiGre8613M,"(7, 21)",False,HVC,9
355,HpiGre8613M,"(8, 22)",True,HVC,9
356,BluGre4315M,"(66, 80)",False,HVC,9
357,BluGre4315M,"(9, 23)",True,HVC,9
358,BluRed8773M,"(31, 45)",False,HVC,9
359,BluRed8773M,"(11, 25)",True,HVC,9
360,BluWhi0398F,"(26, 40)",False,HVC,10
361,BluWhi0398F,"(6, 20)",True,HVC,10
362,BluWhi3230M,"(19, 33)",False,HVC,10
363,BluWhi3230M,"(5, 19)",True,HVC,10
364,GraYel7337F,"(14, 28)",False,HVC,10
365,GraYel7337F,"(3, 17)",True,HVC,10
366,GreWhi2703M,"(57, 71)",False,HVC,10
367,GreWhi2703M,"(2, 16)",True,HVC,10
368,HpiGre8613M,"(15, 29)",False,HVC,10
369,HpiGre8613M,"(4, 18)",True,HVC,10
370,BluGre4315M,"(97, 111)",False,HVC,10
371,BluGre4315M,"(3, 17)",True,HVC,10
372,BluRed8773M,"(18, 32)",False,HVC,10
373,BluRed8773M,"(5, 19)",True,HVC,10
374,BluYel2571F,"(98, 112)",False,CTRL,0
375,BluYel2571F,"(14, 28)",True,CTRL,0
376,YelPur7906M,"(7, 21)",False,CTRL,0
377,YelPur7906M,"(10, 24)",True,CTRL,0
378,WhiWhi2526M,"(41, 55)",False,CTRL,0
379,WhiWhi2526M,"(55, 69)",True,CTRL,0
380,RedGra7912M,"(159, 173)",False,CTRL,0
381,RedGra7912M,"(99, 113)",True,CTRL,0
382,BluYel2571F,"(22, 36)",False,CTRL,1
383,BluYel2571F,"(40, 54)",True,CTRL,1
384,YelPur7906M,"(10, 24)",False,CTRL,1
385,YelPur7906M,"(6, 20)",True,CTRL,1
386,WhiWhi2526M,"(53, 67)",False,CTRL,1
387,WhiWhi2526M,"(13, 27)",True,CTRL,1
388,RedGra7912M,"(57, 71)",False,CTRL,1
389,RedGra7912M,"(112, 126)",True,CTRL,1
390,BluYel2571F,"(37, 51)",False,CTRL,2
391,BluYel2571F,"(15, 29)",True,CTRL,2
392,YelPur7906M,"(5, 19)",False,CTRL,2
393,YelPur7906M,"(8, 22)",True,CTRL,2
394,WhiWhi2526M,"(45, 59)",False,CTRL,2
395,WhiWhi2526M,"(8, 22)",True,CTRL,2
396,RedGra7912M,"(108, 122)",False,CTRL,2
397,RedGra7912M,"(10, 24)",True,CTRL,2
398,BluYel2571F,"(36, 50)",False,CTRL,3
399,BluYel2571F,"(10, 24)",True,CTRL,3
400,YelPur7906M,"(25, 39)",False,CTRL,3
401,YelPur7906M,"(17, 31)",True,CTRL,3
402,WhiWhi2526M,"(11, 25)",False,CTRL,3
403,WhiWhi2526M,"(27, 41)",True,CTRL,3
404,RedGra7912M,"(79, 93)",False,CTRL,3
405,RedGra7912M,"(59, 73)",True,CTRL,3
406,BluYel2571F,"(64, 78)",False,CTRL,4
407,BluYel2571F,"(13, 27)",True,CTRL,4
408,YelPur7906M,"(33, 47)",False,CTRL,4
409,YelPur7906M,"(3, 17)",True,CTRL,4
410,WhiWhi2526M,"(18, 32)",False,CTRL,4
411,WhiWhi2526M,"(41, 55)",True,CTRL,4
412,RedGra7912M,"(42, 56)",False,CTRL,4
413,RedGra7912M,"(10, 24)",True,CTRL,4
414,BluYel2571F,"(53, 67)",False,CTRL,5
415,BluYel2571F,"(17, 31)",True,CTRL,5
416,YelPur7906M,"(16, 30)",False,CTRL,5
417,YelPur7906M,"(3, 17)",True,CTRL,5
418,WhiWhi2526M,"(47, 61)",False,CTRL,5
419,WhiWhi2526M,"(9, 23)",True,CTRL,5
420,RedGra7912M,"(65, 79)",False,CTRL,5
421,RedGra7912M,"(16, 30)",True,CTRL,5
422,BluYel2571F,"(30, 44)",False,CTRL,6
423,BluYel2571F,"(14, 28)",True,CTRL,6
424,YelPur7906M,"(23, 37)",False,CTRL,6
425,YelPur7906M,"(7, 21)",True,CTRL,6
426,WhiWhi2526M,"(46, 60)",False,CTRL,6
427,WhiWhi2526M,"(4, 18)",True,CTRL,6
428,RedGra7912M,"(66, 80)",False,CTRL,6
429,RedGra7912M,"(11, 25)",True,CTRL,6
430,BluYel2571F,"(40, 54)",False,CTRL,7
431,BluYel2571F,"(3, 17)",True,CTRL,7
432,YelPur7906M,"(24, 38)",False,CTRL,7
433,YelPur7906M,"(1, 15)",True,CTRL,7
434,WhiWhi2526M,"(50, 64)",False,CTRL,7
435,WhiWhi2526M,"(10, 24)",True,CTRL,7
436,RedGra7912M,"(89, 103)",False,CTRL,7
437,RedGra7912M,"(9, 23)",True,CTRL,7
438,BluYel2571F,"(24, 38)",False,CTRL,8
439,BluYel2571F,"(8, 22)",True,CTRL,8
440,YelPur7906M,"(17, 31)",False,CTRL,8
441,YelPur7906M,"(5, 19)",True,CTRL,8
442,WhiWhi2526M,"(39, 53)",False,CTRL,8
443,WhiWhi2526M,"(13, 26)",True,CTRL,8
444,RedGra7912M,"(116, 130)",False,CTRL,8
445,RedGra7912M,"(12, 26)",True,CTRL,8
446,BluYel2571F,"(45, 59)",False,CTRL,9
447,BluYel2571F,"(16, 30)",True,CTRL,9
448,YelPur7906M,"(7, 21)",False,CTRL,9
449,YelPur7906M,"(4, 18)",True,CTRL,9
450,WhiWhi2526M,"(20, 34)",False,CTRL,9
451,WhiWhi2526M,"(17, 29)",True,CTRL,9
452,RedGra7912M,"(68, 82)",False,CTRL,9
453,RedGra7912M,"(5, 19)",True,CTRL,9
454,BluYel2571F,"(42, 56)",False,CTRL,10
455,BluYel2571F,"(10, 24)",True,CTRL,10
456,YelPur7906M,"(14, 28)",False,CTRL,10
457,YelPur7906M,"(9, 23)",True,CTRL,10
458,WhiWhi2526M,"(20, 34)",False,CTRL,10
459,WhiWhi2526M,"(5, 17)",True,CTRL,10
460,RedGra7912M,"(103, 117)",False,CTRL,10
461,RedGra7912M,"(20, 34)",True,CTRL,10
